Show,wds_id,discov#,comp,first,last,Years of Obs,obs,pa_first,pa_last,Δ P.A.,sep_first,sep_last,Δ SEP,mag1,mag2,Δ Mag,spectr,pm1_ra,pm1_dec,PM 1,pm2_ra,pm2_dec,PM 2,rPM,notes,coord_arcsec_2000
Show,14006-2654,B 261,,1913,2015,102,8,345,344,1,6,5.7,0.3,10.09,12.1,2.01,F6V,-27,-26,37.48332963,,,,,,140035.05-265348.8
Show,19208-4155,CPO 611,,1901,2015,114,7,65,64,1,5,5.3,0.3,9.57,11.6,2.03,A2IV/V,-17,-16,23.34523506,,,,,,192051.26-415429.4
Show,22169+6052,BU 378,AC,1878,2015,137,12,29,30,1,7.5,7.2,0.3,9.32,11.9,2.58,A2,-4,-5,6.403124237,,,,,,221652.75+605221.3
Show,20490+6313,ES 1855,,1920,2015,95,9,27,18,9,4.9,5.2,0.3,9.58,12.3,2.72,F8,1,-14,14.03566885,,,,,,204902.64+631252.6
Show,17189-3946,I 409,,1902,2015,113,8,37,35,2,5.1,5.4,0.3,9.28,11.1,1.82,B8/9IV,-8,-10,12.80624847,,,,,,171859.61-394608.4
Show,18143-1904,B 2859,AB,1916,2015,99,11,54,48,6,6.2,6.6,0.4,9.5,11.3,1.8,B3II,0,-3,3,,,,,,181416.97-190408.3
Show,19382+2913,DAM 308,CE,1895,2015,120,7,48,47,1,6.3,6.7,0.4,10,12,2,G5III,5,-16,16.76305461,,,,,,193808.56+291240.5
Show,13520-3307,PRO 107,,1911,2015,104,10,4,2,2,6.2,6.7,0.5,9.63,11.8,2.17,F3/5V,-19,-9,21.02379604,,,,,,135158.09-330730.0
Show,21190+5039,ES 1004,,1910,2015,105,8,219,221,2,7.1,7.6,0.5,9.28,11.8,2.52,K2,-4,-9,9.848857802,,,,,,211857.66+503917.4
Show,15022-4727,CPO 409,,1902,2015,113,8,121,113,8,5.2,5.8,0.6,9.8,11.3,1.5,F3/5V,-41,5,41.30375286,,,,,,150209.60-472658.2
Show,20422+4041,MLB 23,,1892,2015,123,16,43,41,2,7,7.6,0.6,9,10.9,1.9,G0,83,11,83.72574276,,,,,,204210.11+404051.8
Show,17342-3155,LPO 63,,1911,2015,104,6,107,123,16,5.7,5.1,0.6,9.83,11.8,1.97,B5,-13,12,17.69180601,,,,,,173414.56-315458.6
Show,20232+4046,ES 1677,,1917,2015,98,9,268,270,2,6.8,7.4,0.6,9.72,11.9,2.18,B,0,-6,6,,,,,,202310.46+404552.3
Show,18433+2506,POU3503,,1908,2015,107,9,96,95,1,6.9,6.3,0.6,9.64,12.3,2.66,K2,-4,-5,6.403124237,,,,,N,184320.34+250624.0
Show,12078-2520,B 220,,1911,2015,104,10,302,302,0,7.1,6.4,0.7,9.34,11.6,2.26,F7/8V,4,-24,24.33105012,,,,,,120746.55-252028.2
Show,20282+4458,ES 661,,1892,2015,123,10,162,156,6,7.6,6.9,0.7,9.08,11.4,2.32,K0,-5,-8,9.433981132,,,,,,202811.96+445821.8
Show,17596-2903,SKF2548,,1913,2015,102,9,75,74,1,8.4,7.7,0.7,9.8,11.1,1.3,K:+A0,5,-1,5.099019514,,,,,,175933.91-290238.3
Show,17223-3108,HDO 145,,1868,2015,147,9,140,136,4,5.3,6,0.7,9.46,11.5,2.04,B9III/IV,-8,4,8.94427191,,,,,,172219.52-310754.9
Show,20585+1607,J 3118,,1944,2015,71,10,70,73,3,5,5.7,0.7,9.6,12,2.4,F8,9,-8,12.04159458,,,,,,205830.88+160643.9
Show,20289-2220,DON 987,,1920,2010,90,7,75,77,2,4.9,5.7,0.8,9.69,11.7,2.01,A2IV,-11,-13,17.02938637,,,,,,202854.30-221954.9
Show,22514+4823,ES 850,,1909,2015,106,7,307,311,4,7.3,6.5,0.8,9.28,12,2.72,K0,-8,-7,10.63014581,,,,,,225123.70+482247.6
Show,17592-2842,SKF2547,,1913,2015,102,9,94,93,1,6.5,5.6,0.9,10.7,10.7,0,K2,-2,-7,7.280109889,,,,,,175912.42-284147.9
Show,20063+3454,SEI 870,AB,1895,2015,120,11,4,2,2,5.6,6.5,0.9,10.48,12,1.52,A0,-1,-1,1.414213562,,,,,,200616.21+345405.9
Show,19474+2838,BRT 42,,1895,2013,118,8,133,129,4,4,5,1,11,11.6,0.6,A0,7,-4,8.062257748,,,,,,194727.86+283848.4
Show,19217+2337,POU3781,,1905,2015,110,8,164,158,6,8.2,9.2,1,9.9,12.7,2.8,M0,3,1,3.16227766,,,,,,192143.15+233722.3
Show,19432+2318,J 490,ON,1892,2015,123,10,49,46,3,4.9,6,1.1,10.4,12.2,1.8,O7,-7,-6,9.219544457,,,,,R,194308.87+231808.2
Show,22580+5602,STI2916,,1920,2015,95,9,171,163,8,4.2,5.3,1.1,9.9,11.8,1.9,B5,-4,2,4.472135955,,,,,,225757.62+560215.5
Show,22535+6607,MLB 275,AB,1922,2015,93,9,281,281,0,5.9,7,1.1,10.34,12.3,1.96,F8,-1,11,11.04536102,,,,,,225330.98+660646.7
Show,19280-0813,J 2266,,1892,2015,123,9,172,173,1,5.2,6.3,1.1,9.76,12.1,2.34,K0,-2,-5,5.385164807,,,,,,192757.32-081257.0
Show,17581-5554,RST 955,,1892,2015,123,8,108,107,1,6.4,5.3,1.1,9.75,10.9,1.15,G8/K0III,-21,-6,21.84032967,,,,,,175802.89-555331.6
Show,19425+1726,STF2563,CD,1905,2015,110,10,105,118,13,8.6,7.4,1.2,9.37,11.5,2.13,A7,19,6,19.92485885,,,,,N W,194225.24+172643.9
Show,12538-6022,CRU9008,AB,1879,2015,136,6,107,107,0,6.7,5.5,1.2,9.6,9.6,0,B1.5V+B2V,-1,3,3.16227766,,,,,,125346.54-602218.4
Show,19557+2839,MLB 476,,1926,2015,89,10,88,86,2,5.3,6.7,1.4,9.46,11.2,1.74,A1V,2,4,4.472135955,,,,,,195540.48+283912.5
Show,22245+0051,MRG 4,,1906,2011,105,6,10,344,334,6,7.5,1.5,9.82,11.2,1.38,K0,39,12,40.80441153,,,,,,222431.33+005051.7
Show,19569+1935,BRT2523,AB,1938,2015,77,8,35,39,4,4.1,5.6,1.5,9.8,11.2,1.4,A2,-6,-6,8.485281374,,,,,,195655.20+193545.5
Show,18542+2856,MLB 467,,1926,2015,89,7,199,196,3,7.9,9.6,1.7,9.72,11.4,1.68,G5,1,-7,7.071067812,,,,,,185412.61+285538.1
Show,17265-1735,HU 171,AC,1916,2015,99,7,210,209,1,5.4,7.1,1.7,10.12,12.3,2.18,A2V,4,10,10.77032961,,,,,,172631.65-173513.7
Show,20461+2916,MLB 711,,1931,2015,84,8,40,39,1,4.5,6.2,1.7,9.8,12,2.2,K0,-3,-4,5,,,,,,204603.01+291629.6
Show,18223-1437,J 519,AB,1906,2015,109,12,151,198,47,5.7,7.5,1.8,10.68,12.2,1.52,O7.5V,2,36,36.05551275,,,,,N,182222.30-143708.4
Show,20057+1034,J 134,,1910,2007,97,9,89,88,1,4.7,6.5,1.8,10.19,12.1,1.91,A0,22,-3,22.20360331,,,,,,200536.40+103345.9
Show,19343+1840,GCB 43,,1925,2015,90,11,267,264,3,5.5,7.5,2,9.95,11.9,1.95,A2,4,-2,4.472135955,,,,,,193418.03+184019.9
Show,17212-1802,ARA 249,,1916,2015,99,6,319,328,9,7.8,5.4,2.4,9.61,12.3,2.69,K2,-13,-10,16.40121947,,,,,,172113.54-180209.3
Show,18535+7036,A 1172,,1893,2015,122,13,246,261,15,4.4,6.8,2.4,9.16,12,2.84,K0,30,2,30.06659276,,,,,,185330.74+703532.7
Show,20261+2910,MLB 479,,1828,2015,187,10,167,141,26,4,6.4,2.4,10,11.8,1.8,G0,-1,-11,11.04536102,,,,,N,202605.98+290930.2
Show,19432+2318,J 490,OL,1911,2015,104,10,107,121,14,3,5.7,2.7,10.4,12.9,2.5,O7,-7,-6,9.219544457,,,,,R,194308.87+231808.2
Show,14000-4714,HJ 4638,AB,1834,2015,181,8,315,311,4,5,7.8,2.8,9.75,11.1,1.35,B7V,4,-5,6.403124237,,,,,N,135959.52-471334.2
Show,19111-0701,BRT 491,,1911,2015,104,10,186,185,1,4.1,7,2.9,10.1,11.4,1.3,F5,-2,25,25.07987241,,,,,,191106.08-070123.0
Show,13167-5950,HJ 4577,AD,1874,2015,141,6,180,141,39,12,9,3,10.1,10.7,0.6,B9.5V:,-10,-6,11.66190379,,,,,,131642.11-594926.1
Show,19576+4033,J 783,,1912,2015,103,17,10,353,343,3,6.6,3.6,10.9,11.8,0.9,G5,18,33,37.58989226,,,,,,195735.88+403311.3
Show,17549-6513,HJ 4980,,1835,2015,180,7,139,66,73,6.2,9.8,3.6,9.64,12.4,2.76,F5,-9,-54,54.74486277,,,,,,175451.06-651242.8
Show,19383-0117,J 119,,1910,2015,105,7,260,253,7,3,6.7,3.7,9.61,12.4,2.79,A3,2,-7,7.280109889,,,,,,193820.88-011702.5
Show,19389-0544,RST4636,,1938,2014,76,6,153,145,8,2.9,7,4.1,9.58,12,2.42,K5,-4,-4,5.656854249,,,,,,193855.51-054403.2
Show,18197+0207,AG 219,AC,1922,2015,93,8,288,243,45,10.3,6,4.3,10.08,12.5,2.42,K0,-49,58,75.92759709,,,,,L,181940.74+020704.4
Show,15240-5449,NZO 54,,1905,2015,110,9,200,207,7,2,6.7,4.7,10.35,11.9,1.55,B8III,6,13,14.31782106,,,,,,152400.62-544808.3
Show,16029-2402,KSA 80,AB,1996,2015,19,9,352,353,1,7,7.2,0.2,9.73,12.54,2.81,K4,-10,-20,22.36067977,,,,,V K,160251.24-240157.4
Show,20529+4814,ES 812,,2000,2015,15,7,167,169,2,8.2,8.5,0.3,10.2,11.8,1.6,B,17,23,28.60069929,,,,,V,205252.08+481405.7
Show,16045-1905,LAF 103,AD,1998,2015,17,4,321,322,1,9.8,10,0.2,9.28,10.47,1.19,M3,-2,-4,4.472135955,,,,,V K,160428.39-190441.4
